case,method,metric,seed,value
"Waxman
(192 nodes)",Greedy,p95_completion_latency_ps,43011,19.6000002
"Waxman
(192 nodes)",Greedy,p95_completion_latency_ps,43012,19.6000002
"Waxman
(192 nodes)",Greedy,p95_completion_latency_ps,43013,18.2
"Waxman
(192 nodes)",Greedy,p95_completion_latency_ps,43014,22.3
"Waxman
(192 nodes)",Greedy,p95_completion_latency_ps,43015,19.6000002
"Waxman
(192 nodes)",Greedy,p95_completion_latency_ps,43016,19.6000002
"Waxman
(192 nodes)",Greedy,p95_completion_latency_ps,43017,18.6000002
"Waxman
(192 nodes)",Greedy,p95_completion_latency_ps,43018,23.3
"Waxman
(192 nodes)",Greedy,p95_completion_latency_ps,43019,20.6000002
"Barabási–Albert
(128 nodes)",Greedy,p95_completion_latency_ps,43100,19.5000002
"Barabási–Albert
(128 nodes)",Greedy,p95_completion_latency_ps,43101,18.5000002
"Barabási–Albert
(128 nodes)",Greedy,p95_completion_latency_ps,43102,17.5000002
"Barabási–Albert
(128 nodes)",Greedy,p95_completion_latency_ps,43103,18.6000002
"Barabási–Albert
(128 nodes)",Greedy,p95_completion_latency_ps,43104,19.6000002
"Barabási–Albert
(128 nodes)",Greedy,p95_completion_latency_ps,43105,19.6000002
"Barabási–Albert
(128 nodes)",Greedy,p95_completion_latency_ps,43106,18.6000002
"Barabási–Albert
(128 nodes)",Greedy,p95_completion_latency_ps,43107,19.6000002
"Barabási–Albert
(128 nodes)",Greedy,p95_completion_latency_ps,43108,19.6000002
"Barabási–Albert
(128 nodes)",Greedy,p95_completion_latency_ps,43109,19.6000002
"Barabási–Albert
(128 nodes)",Greedy,p95_completion_latency_ps,43110,19.6000002
"Barabási–Albert
(128 nodes)",Greedy,p95_completion_latency_ps,43111,18.2
"Barabási–Albert
(128 nodes)",Greedy,p95_completion_latency_ps,43112,18.6000002
"Barabási–Albert
(128 nodes)",Greedy,p95_completion_latency_ps,43113,18.5000002
"Barabási–Albert
(128 nodes)",Greedy,p95_completion_latency_ps,43114,18.5000002
"Barabási–Albert
(128 nodes)",Greedy,p95_completion_latency_ps,43115,19.5000002
"Barabási–Albert
(128 nodes)",Greedy,p95_completion_latency_ps,43116,19.6000002
"Barabási–Albert
(128 nodes)",Greedy,p95_completion_latency_ps,43117,17.6000002
"Barabási–Albert
(128 nodes)",Greedy,p95_completion_latency_ps,43118,19.3
"Barabási–Albert
(128 nodes)",Greedy,p95_completion_latency_ps,43119,19.2
